Cancer label,Sex,Type,Year,ASR (World),Crude rate,Cumulative risk,Total,Country_harmonized,Region Name,RTCenters,Linac,Protontherapy,XRay,Brachytherapy,Last Update,Population,Population_male,Population_female,GDP_per_capita,RTCenters_m,Linac_m,Protontherapy_m,XRay_m,Brachytherapy_m
Lung,Male,Mortality,2012,23.77342103,33.57773315,3.129542668,719,Georgia,Western Asia,9,18,0,1,3,2025,3839208.0,1783928.0,2055280.0,4530.69533409431,2.3442334981589954,4.688466996317991,0.0,0.2604703886843328,0.7814111660529984
Lung,Male,Mortality,2013,23.22884243,33.6432877,3.104123639,720,Georgia,Western Asia,9,18,0,1,3,2025,3809125.0,1773432.0,2035693.0,4712.00229382665,2.362747350113215,4.72549470022643,0.0,0.2625274833459128,0.7875824500377383
Lung,Male,Mortality,2014,30.421083,43.90161535,4.0038175,780,Georgia,Western Asia,9,18,0,1,3,2025,3792916.0,1767561.0,2025355.0,4830.33486170249,2.372844534389899,4.745689068779798,0.0,0.26364939270998883,0.7909481781299665
Lung,Male,Mortality,2015,33.01598244,48.64001725,4.225349809,866,Georgia,Western Asia,9,18,0,1,3,2025,3791573.0,1766794.0,2024778.0,4086.6223465965,2.3736850114714922,4.7473700229429845,0.0,0.263742779052388,0.791228337157164
Lung,Male,Mortality,2016,35.23617465,53.73566535,4.523072291,959,Georgia,Western Asia,9,18,0,1,3,2025,3792057.0,1766804.0,2025253.0,4143.40125686315,2.3733820456812755,4.746764091362551,0.0,0.2637091161868084,0.7911273485604251
Lung,Male,Mortality,2017,34.06719663,51.6051263,4.404309748,923,Georgia,Western Asia,9,18,0,1,3,2025,3792859.0,1766916.0,2025943.0,4418.75206546679,2.3728801940699618,4.7457603881399235,0.0,0.2636533548966624,0.7909600646899871
Lung,Male,Mortality,2018,35.47886599,54.37604328,4.519874566,974,Georgia,Western Asia,9,18,0,1,3,2025,3794877.0,1767621.0,2027255.0,4804.0546040444,2.3716183686585888,4.7432367373171775,0.0,0.26351315207317655,0.7905394562195296
Lung,Male,Mortality,2019,34.00933707,53.27840929,4.257531813,954,Georgia,Western Asia,9,18,0,1,3,2025,3796722.0,1768266.0,2028457.0,4741.2832715876,2.3704658913662895,4.740931782732579,0.0,0.2633850990406988,0.7901552971220964
Lung,Male,Mortality,2020,34.08355775,53.5340563,4.398361634,960,Georgia,Western Asia,9,18,0,1,3,2025,3795678.0,1767457.0,2028222.0,4300.85701291207,2.3711178872391176,4.742235774478235,0.0,0.26345754302656865,0.790372629079706
Lung,Male,Mortality,2021,32.02473721,51.25881326,4.131030548,914,Georgia,Western Asia,9,18,0,1,3,2025,3788451.0,1764339.0,2024112.0,5083.60695484577,2.3756411261489196,4.751282252297839,0.0,0.2639601251276577,0.7918803753829732
